Date,2022-04-11__JSWSTEEL__TATASTEEL,2022-07-12__JSWSTEEL__TATASTEEL,2022-10-13__HCLTECH__WIPRO,2023-04-19__HINDALCO__TATASTEEL,portfolio_return,portfolio_equity
2022-04-11,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-12,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-13,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-18,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-19,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-20,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-21,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-22,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-25,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-26,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-27,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-28,0.0,0.0,0.0,0.0,0.0,1.0
2022-04-29,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-02,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-04,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-05,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-06,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-09,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-10,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-11,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-12,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-13,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-16,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-17,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-18,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-19,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-20,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-23,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-24,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-25,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-26,-0.0,0.0,0.0,0.0,0.0,1.0
2022-05-27,0.0,0.0,0.0,0.0,0.0,1.0
2022-05-30,-0.0,0.0,0.0,0.0,0.0,1.0
2022-05-31,-0.0,0.0,0.0,0.0,0.0,1.0
2022-06-01,-0.0,0.0,0.0,0.0,0.0,1.0
2022-06-02,-0.0,0.0,0.0,0.0,0.0,1.0
2022-06-03,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-06,-0.0,0.0,0.0,0.0,0.0,1.0
2022-06-07,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-08,-0.0,0.0,0.0,0.0,0.0,1.0
2022-06-09,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-10,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-13,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-14,-0.0,0.0,0.0,0.0,0.0,1.0
2022-06-15,-0.0,0.0,0.0,0.0,0.0,1.0
2022-06-16,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-17,-0.0,0.0,0.0,0.0,0.0,1.0
2022-06-20,0.0,0.0,0.0,0.0,0.0,1.0
2022-06-21,-0.001,0.0,0.0,0.0,-0.00025,0.99975
2022-06-22,-0.12912063293574055,0.0,0.0,0.0,-0.03228015823393514,0.9674779118056234
2022-06-23,-0.004688014589583756,0.0,0.0,0.0,-0.001172003647395939,0.9663440241642122
2022-06-24,0.01907416944206932,0.0,0.0,0.0,0.00476854236051733,0.970952076578272
2022-06-27,0.03371657325833998,0.0,0.0,0.0,0.008429143314584995,0.979136370783344
2022-06-28,0.0103749883578572,0.0,0.0,0.0,0.0025937470894643,0.981676002895252
